cell,pre_eps,post_eps,n_pool,n_pre_reps,n_post_reps,oracle_best
quadrotor_9_1em4,0.005,0.0001,86,32,29,0.0063384549701633675
quadrotor_9_1em4,0.005,0.001,86,32,29,0.0063384549701633675
quadrotor_9_1em4,0.005,0.005,86,32,29,0.0063384549701633675
quadrotor_9_1em4,0.005,0.01,86,32,25,0.00706085093292132
quadrotor_9_1em4,0.005,0.02,86,32,20,0.00706085093292132
quadrotor_9_1em4,0.005,0.05,86,32,15,0.00706085093292132
quadrotor_9_1em4,0.01,0.0001,86,19,17,0.0063384549701633675
quadrotor_9_1em4,0.01,0.001,86,19,17,0.0063384549701633675
quadrotor_9_1em4,0.01,0.005,86,19,17,0.0063384549701633675
quadrotor_9_1em4,0.01,0.01,86,19,17,0.0063384549701633675
quadrotor_9_1em4,0.01,0.02,86,19,14,0.0063384549701633675
quadrotor_9_1em4,0.01,0.05,86,19,11,0.0063384549701633675
quadrotor_9_1em4,0.02,0.0001,86,9,8,0.014402061154990766
quadrotor_9_1em4,0.02,0.001,86,9,8,0.014402061154990766
quadrotor_9_1em4,0.02,0.005,86,9,8,0.014402061154990766
quadrotor_9_1em4,0.02,0.01,86,9,8,0.014402061154990766
quadrotor_9_1em4,0.02,0.02,86,9,8,0.014402061154990766
quadrotor_9_1em4,0.02,0.05,86,9,6,0.014402061154990766
quadrotor_9_1em4,0.05,0.0001,86,2,1,0.014402061154990766
quadrotor_9_1em4,0.05,0.001,86,2,1,0.014402061154990766
quadrotor_9_1em4,0.05,0.005,86,2,1,0.014402061154990766
quadrotor_9_1em4,0.05,0.01,86,2,1,0.014402061154990766
quadrotor_9_1em4,0.05,0.02,86,2,1,0.014402061154990766
quadrotor_9_1em4,0.05,0.05,86,2,1,0.014402061154990766
fitzhugh_nagumo_4_1em6,0.0001,0.0001,215,175,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.0001,0.001,215,175,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.0001,0.005,215,175,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.0001,0.01,215,175,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.0001,0.02,215,175,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.0001,0.05,215,175,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.001,0.0001,215,164,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.001,0.001,215,164,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.001,0.005,215,164,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.001,0.01,215,164,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.001,0.02,215,164,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.001,0.05,215,164,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.005,0.0001,215,106,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.005,0.001,215,106,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.005,0.005,215,106,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.005,0.01,215,106,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.005,0.02,215,106,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.005,0.05,215,106,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.01,0.0001,215,72,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.01,0.001,215,72,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.01,0.005,215,72,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.01,0.01,215,72,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.01,0.02,215,72,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.01,0.05,215,72,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.02,0.0001,215,52,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.02,0.001,215,52,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.02,0.005,215,52,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.02,0.01,215,52,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.02,0.02,215,52,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.02,0.05,215,52,1,0.02350030304468266
fitzhugh_nagumo_4_1em6,0.05,0.0001,215,27,1,0.023500275309875817
fitzhugh_nagumo_4_1em6,0.05,0.001,215,27,1,0.023500275309875817
fitzhugh_nagumo_4_1em6,0.05,0.005,215,27,1,0.023500275309875817
fitzhugh_nagumo_4_1em6,0.05,0.01,215,27,1,0.023500275309875817
fitzhugh_nagumo_4_1em6,0.05,0.02,215,27,1,0.023500275309875817
fitzhugh_nagumo_4_1em6,0.05,0.05,215,27,1,0.023500275309875817
fitzhugh_nagumo_0_1em4,0.0001,0.0001,118,98,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.0001,0.001,118,98,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.0001,0.005,118,98,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.0001,0.01,118,98,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.0001,0.02,118,98,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.0001,0.05,118,98,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.001,0.0001,118,93,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.001,0.001,118,93,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.001,0.005,118,93,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.001,0.01,118,93,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.001,0.02,118,93,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.001,0.05,118,93,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.005,0.0001,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.005,0.001,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.005,0.005,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.005,0.01,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.005,0.02,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.005,0.05,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.01,0.0001,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.01,0.001,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.01,0.005,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.01,0.01,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.01,0.02,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.01,0.05,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.02,0.0001,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.02,0.001,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.02,0.005,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.02,0.01,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.02,0.02,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.02,0.05,118,90,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.05,0.0001,118,76,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.05,0.001,118,76,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.05,0.005,118,76,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.05,0.01,118,76,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.05,0.02,118,76,1,0.014572557626002436
fitzhugh_nagumo_0_1em4,0.05,0.05,118,76,1,0.014572557626002436
