direction,threshold,id,system,run,noise_label,new_oracle,old_oracle
regression,0.001,repressilator_8_1em4,repressilator,odepe_v2_polish,1em4,0.007146688285429572,0.0007130761798049738
regression,0.1,repressilator_9_1em2,repressilator,odepe_v2_polish,1em2,0.10687241626552864,0.04618796207213613
regression,0.001,repressilator_9_1em4,repressilator,odepe_v2_polish,1em4,0.003099579228404349,0.00043703765233108713
regression,0.01,seir_0_1em4,seir,odepe_v2_polish,1em4,0.14297882866792383,0.0010449725492699565
regression,0.1,seir_0_1em4,seir,odepe_v2_polish,1em4,0.14297882866792383,0.0010449725492699565
regression,0.01,seir_1_1em6,seir,odepe_v2_polish,1em6,0.025619728298753135,0.0015235825778539495
regression,0.001,seir_2_1em6,seir,odepe_v2_polish,1em6,0.009447089317283342,0.0004011004063710606
regression,0.001,seir_3_0,seir,odepe_v2_polish,0,0.0918918552087701,3.6139772809365524e-13
regression,0.01,seir_3_0,seir,odepe_v2_polish,0,0.0918918552087701,3.6139772809365524e-13
regression,0.001,seir_3_1em6,seir,odepe_v2_polish,1em6,0.027750084088251782,0.0004957539898888632
regression,0.01,seir_3_1em6,seir,odepe_v2_polish,1em6,0.027750084088251782,0.0004957539898888632
regression,0.5,seir_4_1em4,seir,odepe_v2_polish,1em4,3.5993061954983205,0.19168176941306717
regression,0.5,seir_5_1em2,seir,odepe_v2_polish,1em2,0.708726101122367,0.3323912966264538
regression,0.1,seir_6_1em6,seir,odepe_v2_polish,1em6,0.21045178897288405,0.01979651061636048
regression,0.001,seir_6_1em8,seir,odepe_v2_polish,1em8,0.003300671575087307,0.0008672695062410744
regression,0.5,seir_7_1em2,seir,odepe_v2_polish,1em2,11.175876184776396,0.24210253824610492
regression,0.5,seir_8_1em4,seir,odepe_v2_polish,1em4,6.025369573018066,0.40395240938911997
regression,0.1,seir_8_1em6,seir,odepe_v2_polish,1em6,0.2289792955017888,0.03530731036632482
regression,0.1,seir_9_1em2,seir,odepe_v2_polish,1em2,0.6457469578091479,0.07845650153659176
regression,0.5,seir_9_1em2,seir,odepe_v2_polish,1em2,0.6457469578091479,0.07845650153659176
regression,0.001,seir_9_1em6,seir,odepe_v2_polish,1em6,0.018667274876823188,0.0001551825450804099
regression,0.01,seir_9_1em6,seir,odepe_v2_polish,1em6,0.018667274876823188,0.0001551825450804099
regression,0.001,sirt_treatment_0_1em6,sirt_treatment,odepe_v2_polish,1em6,0.025085552952882638,9.872185208713264e-05
regression,0.01,sirt_treatment_0_1em6,sirt_treatment,odepe_v2_polish,1em6,0.025085552952882638,9.872185208713264e-05
regression,0.01,sirt_treatment_1_1em4,sirt_treatment,odepe_v2_polish,1em4,0.0677216780366674,0.00221582495460404
regression,0.001,sirt_treatment_1_1em6,sirt_treatment,odepe_v2_polish,1em6,0.003508353578361656,9.212769633615281e-06
regression,0.01,sirt_treatment_3_1em4,sirt_treatment,odepe_v2_polish,1em4,0.060493421909963575,0.008303537372820392
regression,0.001,sirt_treatment_3_1em6,sirt_treatment,odepe_v2_polish,1em6,0.0014278483917549358,4.871779853774718e-05
regression,0.5,sirt_treatment_4_1em2,sirt_treatment,odepe_v2_polish,1em2,1.071973431855732,0.4968559054448972
regression,0.01,sirt_treatment_4_1em4,sirt_treatment,odepe_v2_polish,1em4,0.035483004668649974,0.0014075881636729903
regression,0.001,sirt_treatment_4_1em6,sirt_treatment,odepe_v2_polish,1em6,0.0020211001261285747,1.7183718136275586e-05
regression,0.5,sirt_treatment_5_1em2,sirt_treatment,odepe_v2_polish,1em2,0.6390433756142022,0.24161557042683024
regression,0.5,sirt_treatment_6_1em2,sirt_treatment,odepe_v2_polish,1em2,0.5813135523496349,0.3171670041128414
regression,0.001,sirt_treatment_6_1em4,sirt_treatment,odepe_v2_polish,1em4,0.040426873567993814,0.0006452358585062814
regression,0.01,sirt_treatment_6_1em4,sirt_treatment,odepe_v2_polish,1em4,0.040426873567993814,0.0006452358585062814
regression,0.001,sirt_treatment_6_1em6,sirt_treatment,odepe_v2_polish,1em6,0.0025637181400783053,5.636973306808309e-05
regression,0.01,sirt_treatment_7_1em4,sirt_treatment,odepe_v2_polish,1em4,0.029730164120769207,0.005528082451679722
regression,0.001,sirt_treatment_7_1em6,sirt_treatment,odepe_v2_polish,1em6,0.0017031640780190405,0.00020402018022272744
regression,0.01,sirt_treatment_8_1em4,sirt_treatment,odepe_v2_polish,1em4,0.017442242005870946,0.001484875583993002
regression,0.001,sirt_treatment_9_1em6,sirt_treatment,odepe_v2_polish,1em6,0.0011813189056742127,5.7070185481123733e-05
regression,0.001,slow_fast_1_1em4,slow_fast,odepe_v2_polish,1em4,0.003576325093378269,0.0004005523061000406
regression,0.01,slow_fast_2_1em4,slow_fast,odepe_v2_polish,1em4,0.010023472044438599,0.0012709192254281773
regression,0.001,slow_fast_4_1em4,slow_fast,odepe_v2_polish,1em4,0.003294503608147299,0.00026582331189269303
regression,0.001,slow_fast_5_1em4,slow_fast,odepe_v2_polish,1em4,0.007009290140198389,0.0005916365484555246
regression,0.1,slow_fast_6_1em2,slow_fast,odepe_v2_polish,1em2,0.12574715764462643,0.026878393396007755
regression,0.001,slow_fast_6_1em4,slow_fast,odepe_v2_polish,1em4,0.002855538055549826,0.00012422490095374722
regression,0.01,slow_fast_7_1em4,slow_fast,odepe_v2_polish,1em4,0.012547544141878118,0.0011011095827708904
regression,0.001,vanderpol_0_1em2,vanderpol,odepe_v2_polish,1em2,0.009797625291627728,0.00019784299549421264
regression,0.001,vanderpol_1_1em2,vanderpol,odepe_v2_polish,1em2,0.001627689793327273,0.00026122745652043083
regression,0.001,vanderpol_3_1em2,vanderpol,odepe_v2_polish,1em2,0.009043617650544167,0.00023485451104327242
regression,0.01,vanderpol_5_1em2,vanderpol,odepe_v2_polish,1em2,0.021929201506286564,0.006649183560084412
regression,0.001,vanderpol_5_1em4,vanderpol,odepe_v2_polish,1em4,0.003801892459203157,1.52068326772871e-05
regression,0.001,vanderpol_6_1em2,vanderpol,odepe_v2_polish,1em2,0.0162535835431988,0.0002823990851533286
regression,0.01,vanderpol_6_1em2,vanderpol,odepe_v2_polish,1em2,0.0162535835431988,0.0002823990851533286
regression,0.001,vanderpol_7_1em2,vanderpol,odepe_v2_polish,1em2,0.0017352627208870458,1.1858730378519386e-05
regression,0.001,vanderpol_8_1em2,vanderpol,odepe_v2_polish,1em2,0.028210840501070453,0.0005003263080247519
regression,0.01,vanderpol_8_1em2,vanderpol,odepe_v2_polish,1em2,0.028210840501070453,0.0005003263080247519
regression,0.01,vanderpol_9_1em2,vanderpol,odepe_v2_polish,1em2,0.019167819039275006,0.00719421374126167
regression,0.001,vanderpol_9_1em4,vanderpol,odepe_v2_polish,1em4,0.007563077003395209,9.293344865317266e-05
regression,0.01,aircraft_pitch_0_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.010181151446795838,0.001361421986237207
regression,0.001,aircraft_pitch_0_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.0029979385712906167,0.000202403941196328
regression,0.01,aircraft_pitch_1_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.022209620418512762,0.0032313284892329626
regression,0.001,aircraft_pitch_1_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.0021039807218416998,0.0001745010741538367
regression,0.01,aircraft_pitch_2_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.012479133188254022,0.002234614061701604
rescue,0.001,aircraft_pitch_2_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.0007691048959886789,0.0011386862115963807
regression,0.01,aircraft_pitch_3_1em2,aircraft_pitch,odepe_v2_nopolish,1em2,0.019275856123914616,0.001260965850378527
regression,0.001,aircraft_pitch_4_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.001626079089768108,0.0008209623533392279
regression,0.1,aircraft_pitch_5_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.1772815945036249,0.08528534708229929
regression,0.001,aircraft_pitch_6_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.024871090933577103,0.0007880515487638919
regression,0.01,aircraft_pitch_6_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.024871090933577103,0.0007880515487638919
regression,0.01,aircraft_pitch_7_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.026986129404906488,0.0021044870754378516
regression,0.01,aircraft_pitch_8_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.023412851966519484,0.006718695404885682
regression,0.01,aircraft_pitch_8_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.022276296884540473,0.002025370857727331
regression,0.01,aircraft_pitch_9_1em2,aircraft_pitch,odepe_v2_nopolish,1em2,0.027917837943869848,0.006944090150788403
regression,0.01,aircraft_pitch_9_1em4,aircraft_pitch,odepe_v2_nopolish,1em4,0.03760987107009539,0.002623441204892205
regression,0.001,aircraft_pitch_9_1em6,aircraft_pitch,odepe_v2_nopolish,1em6,0.002231733304351967,0.00022926640609585773
regression,0.001,bicycle_model_0_1em4,bicycle_model,odepe_v2_nopolish,1em4,0.024738224802228186,0.0008143598684255989
regression,0.01,bicycle_model_0_1em4,bicycle_model,odepe_v2_nopolish,1em4,0.024738224802228186,0.0008143598684255989
regression,0.001,bicycle_model_3_1em4,bicycle_model,odepe_v2_nopolish,1em4,0.004974092784807506,0.0008688863944991095
regression,0.01,bicycle_model_4_1em4,bicycle_model,odepe_v2_nopolish,1em4,0.02227946096921803,0.003447166932169927
regression,0.001,bicycle_model_8_1em4,bicycle_model,odepe_v2_nopolish,1em4,0.002521537198678161,7.550393212832238e-05
