,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,software,result,time
47,9,biohydrogenation_9_0,"{'x4': 0.154, 'x5': 0.327, 'x6': 0.147, 'x7': 0.652}","{'k5': 0.126, 'k6': 0.668, 'k7': 0.52, 'k8': 0.877, 'k9': 0.501, 'k10': 0.414}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
48,9,biohydrogenation_9_0,"{'x4': 0.154, 'x5': 0.327, 'x6': 0.147, 'x7': 0.652}","{'k5': 0.126, 'k6': 0.668, 'k7': 0.52, 'k8': 0.877, 'k9': 0.501, 'k10': 0.414}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
49,9,biohydrogenation_9_0,"{'x4': 0.154, 'x5': 0.327, 'x6': 0.147, 'x7': 0.652}","{'k5': 0.126, 'k6': 0.668, 'k7': 0.52, 'k8': 0.877, 'k9': 0.501, 'k10': 0.414}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
50,10,crauste_0_0,"{'n': 0.338, 'e': 0.751, 's': 0.417, 'm': 0.805, 'p': 0.565}","{'muN': 0.642, 'muEE': 0.316, 'muLE': 0.688, 'muLL': 0.87, 'muM': 0.299, 'muP': 0.561, 'muPE': 0.574, 'muPL': 0.558, 'deltaNE': 0.278, 'deltaEL': 0.862, 'deltaLM': 0.458, 'rhoE': 0.777, 'rhoP': 0.66}",-1.0,1.0,1001,crauste,[],0.0,False,False,pe,,
51,10,crauste_0_0,"{'n': 0.338, 'e': 0.751, 's': 0.417, 'm': 0.805, 'p': 0.565}","{'muN': 0.642, 'muEE': 0.316, 'muLE': 0.688, 'muLL': 0.87, 'muM': 0.299, 'muP': 0.561, 'muPE': 0.574, 'muPL': 0.558, 'deltaNE': 0.278, 'deltaEL': 0.862, 'deltaLM': 0.458, 'rhoE': 0.777, 'rhoP': 0.66}",-1.0,1.0,1001,crauste,[],0.0,False,False,odepe,,
52,10,crauste_0_0,"{'n': 0.338, 'e': 0.751, 's': 0.417, 'm': 0.805, 'p': 0.565}","{'muN': 0.642, 'muEE': 0.316, 'muLE': 0.688, 'muLL': 0.87, 'muM': 0.299, 'muP': 0.561, 'muPE': 0.574, 'muPL': 0.558, 'deltaNE': 0.278, 'deltaEL': 0.862, 'deltaLM': 0.458, 'rhoE': 0.777, 'rhoP': 0.66}",-1.0,1.0,1001,crauste,[],0.0,False,False,sciml,,
53,10,crauste_0_0,"{'n': 0.338, 'e': 0.751, 's': 0.417, 'm': 0.805, 'p': 0.565}","{'muN': 0.642, 'muEE': 0.316, 'muLE': 0.688, 'muLL': 0.87, 'muM': 0.299, 'muP': 0.561, 'muPE': 0.574, 'muPL': 0.558, 'deltaNE': 0.278, 'deltaEL': 0.862, 'deltaLM': 0.458, 'rhoE': 0.777, 'rhoP': 0.66}",-1.0,1.0,1001,crauste,[],0.0,False,False,iqm,,
54,10,crauste_0_0,"{'n': 0.338, 'e': 0.751, 's': 0.417, 'm': 0.805, 'p': 0.565}","{'muN': 0.642, 'muEE': 0.316, 'muLE': 0.688, 'muLL': 0.87, 'muM': 0.299, 'muP': 0.561, 'muPE': 0.574, 'muPL': 0.558, 'deltaNE': 0.278, 'deltaEL': 0.862, 'deltaLM': 0.458, 'rhoE': 0.777, 'rhoP': 0.66}",-1.0,1.0,1001,crauste,[],0.0,False,False,amigo2,,
55,11,crauste_1_0,"{'n': 0.443, 'e': 0.208, 's': 0.339, 'm': 0.556, 'p': 0.573}","{'muN': 0.805, 'muEE': 0.654, 'muLE': 0.68, 'muLL': 0.501, 'muM': 0.865, 'muP': 0.615, 'muPE': 0.439, 'muPL': 0.585, 'deltaNE': 0.115, 'deltaEL': 0.341, 'deltaLM': 0.628, 'rhoE': 0.332, 'rhoP': 0.594}",-1.0,1.0,1001,crauste,[],0.0,False,False,pe,,
56,11,crauste_1_0,"{'n': 0.443, 'e': 0.208, 's': 0.339, 'm': 0.556, 'p': 0.573}","{'muN': 0.805, 'muEE': 0.654, 'muLE': 0.68, 'muLL': 0.501, 'muM': 0.865, 'muP': 0.615, 'muPE': 0.439, 'muPL': 0.585, 'deltaNE': 0.115, 'deltaEL': 0.341, 'deltaLM': 0.628, 'rhoE': 0.332, 'rhoP': 0.594}",-1.0,1.0,1001,crauste,[],0.0,False,False,odepe,,
57,11,crauste_1_0,"{'n': 0.443, 'e': 0.208, 's': 0.339, 'm': 0.556, 'p': 0.573}","{'muN': 0.805, 'muEE': 0.654, 'muLE': 0.68, 'muLL': 0.501, 'muM': 0.865, 'muP': 0.615, 'muPE': 0.439, 'muPL': 0.585, 'deltaNE': 0.115, 'deltaEL': 0.341, 'deltaLM': 0.628, 'rhoE': 0.332, 'rhoP': 0.594}",-1.0,1.0,1001,crauste,[],0.0,False,False,sciml,,
58,11,crauste_1_0,"{'n': 0.443, 'e': 0.208, 's': 0.339, 'm': 0.556, 'p': 0.573}","{'muN': 0.805, 'muEE': 0.654, 'muLE': 0.68, 'muLL': 0.501, 'muM': 0.865, 'muP': 0.615, 'muPE': 0.439, 'muPL': 0.585, 'deltaNE': 0.115, 'deltaEL': 0.341, 'deltaLM': 0.628, 'rhoE': 0.332, 'rhoP': 0.594}",-1.0,1.0,1001,crauste,[],0.0,False,False,iqm,,
59,11,crauste_1_0,"{'n': 0.443, 'e': 0.208, 's': 0.339, 'm': 0.556, 'p': 0.573}","{'muN': 0.805, 'muEE': 0.654, 'muLE': 0.68, 'muLL': 0.501, 'muM': 0.865, 'muP': 0.615, 'muPE': 0.439, 'muPL': 0.585, 'deltaNE': 0.115, 'deltaEL': 0.341, 'deltaLM': 0.628, 'rhoE': 0.332, 'rhoP': 0.594}",-1.0,1.0,1001,crauste,[],0.0,False,False,amigo2,,
60,12,crauste_2_0,"{'n': 0.899, 'e': 0.22, 's': 0.795, 'm': 0.23, 'p': 0.592}","{'muN': 0.559, 'muEE': 0.623, 'muLE': 0.622, 'muLL': 0.445, 'muM': 0.817, 'muP': 0.394, 'muPE': 0.449, 'muPL': 0.814, 'deltaNE': 0.745, 'deltaEL': 0.663, 'deltaLM': 0.18, 'rhoE': 0.836, 'rhoP': 0.671}",-1.0,1.0,1001,crauste,[],0.0,False,False,pe,,
61,12,crauste_2_0,"{'n': 0.899, 'e': 0.22, 's': 0.795, 'm': 0.23, 'p': 0.592}","{'muN': 0.559, 'muEE': 0.623, 'muLE': 0.622, 'muLL': 0.445, 'muM': 0.817, 'muP': 0.394, 'muPE': 0.449, 'muPL': 0.814, 'deltaNE': 0.745, 'deltaEL': 0.663, 'deltaLM': 0.18, 'rhoE': 0.836, 'rhoP': 0.671}",-1.0,1.0,1001,crauste,[],0.0,False,False,odepe,,
62,12,crauste_2_0,"{'n': 0.899, 'e': 0.22, 's': 0.795, 'm': 0.23, 'p': 0.592}","{'muN': 0.559, 'muEE': 0.623, 'muLE': 0.622, 'muLL': 0.445, 'muM': 0.817, 'muP': 0.394, 'muPE': 0.449, 'muPL': 0.814, 'deltaNE': 0.745, 'deltaEL': 0.663, 'deltaLM': 0.18, 'rhoE': 0.836, 'rhoP': 0.671}",-1.0,1.0,1001,crauste,[],0.0,False,False,sciml,,
63,12,crauste_2_0,"{'n': 0.899, 'e': 0.22, 's': 0.795, 'm': 0.23, 'p': 0.592}","{'muN': 0.559, 'muEE': 0.623, 'muLE': 0.622, 'muLL': 0.445, 'muM': 0.817, 'muP': 0.394, 'muPE': 0.449, 'muPL': 0.814, 'deltaNE': 0.745, 'deltaEL': 0.663, 'deltaLM': 0.18, 'rhoE': 0.836, 'rhoP': 0.671}",-1.0,1.0,1001,crauste,[],0.0,False,False,iqm,,
64,12,crauste_2_0,"{'n': 0.899, 'e': 0.22, 's': 0.795, 'm': 0.23, 'p': 0.592}","{'muN': 0.559, 'muEE': 0.623, 'muLE': 0.622, 'muLL': 0.445, 'muM': 0.817, 'muP': 0.394, 'muPE': 0.449, 'muPL': 0.814, 'deltaNE': 0.745, 'deltaEL': 0.663, 'deltaLM': 0.18, 'rhoE': 0.836, 'rhoP': 0.671}",-1.0,1.0,1001,crauste,[],0.0,False,False,amigo2,,
65,13,crauste_3_0,"{'n': 0.388, 'e': 0.684, 's': 0.237, 'm': 0.517, 'p': 0.143}","{'muN': 0.199, 'muEE': 0.778, 'muLE': 0.746, 'muLL': 0.555, 'muM': 0.426, 'muP': 0.155, 'muPE': 0.658, 'muPL': 0.463, 'deltaNE': 0.678, 'deltaEL': 0.793, 'deltaLM': 0.88, 'rhoE': 0.785, 'rhoP': 0.109}",-1.0,1.0,1001,crauste,[],0.0,False,False,pe,,
66,13,crauste_3_0,"{'n': 0.388, 'e': 0.684, 's': 0.237, 'm': 0.517, 'p': 0.143}","{'muN': 0.199, 'muEE': 0.778, 'muLE': 0.746, 'muLL': 0.555, 'muM': 0.426, 'muP': 0.155, 'muPE': 0.658, 'muPL': 0.463, 'deltaNE': 0.678, 'deltaEL': 0.793, 'deltaLM': 0.88, 'rhoE': 0.785, 'rhoP': 0.109}",-1.0,1.0,1001,crauste,[],0.0,False,False,odepe,,
67,13,crauste_3_0,"{'n': 0.388, 'e': 0.684, 's': 0.237, 'm': 0.517, 'p': 0.143}","{'muN': 0.199, 'muEE': 0.778, 'muLE': 0.746, 'muLL': 0.555, 'muM': 0.426, 'muP': 0.155, 'muPE': 0.658, 'muPL': 0.463, 'deltaNE': 0.678, 'deltaEL': 0.793, 'deltaLM': 0.88, 'rhoE': 0.785, 'rhoP': 0.109}",-1.0,1.0,1001,crauste,[],0.0,False,False,sciml,,
68,13,crauste_3_0,"{'n': 0.388, 'e': 0.684, 's': 0.237, 'm': 0.517, 'p': 0.143}","{'muN': 0.199, 'muEE': 0.778, 'muLE': 0.746, 'muLL': 0.555, 'muM': 0.426, 'muP': 0.155, 'muPE': 0.658, 'muPL': 0.463, 'deltaNE': 0.678, 'deltaEL': 0.793, 'deltaLM': 0.88, 'rhoE': 0.785, 'rhoP': 0.109}",-1.0,1.0,1001,crauste,[],0.0,False,False,iqm,,
69,13,crauste_3_0,"{'n': 0.388, 'e': 0.684, 's': 0.237, 'm': 0.517, 'p': 0.143}","{'muN': 0.199, 'muEE': 0.778, 'muLE': 0.746, 'muLL': 0.555, 'muM': 0.426, 'muP': 0.155, 'muPE': 0.658, 'muPL': 0.463, 'deltaNE': 0.678, 'deltaEL': 0.793, 'deltaLM': 0.88, 'rhoE': 0.785, 'rhoP': 0.109}",-1.0,1.0,1001,crauste,[],0.0,False,False,amigo2,,
