system,noise,instance,method,row_idx,n_returned,expected_M,expected_M_physical,orbit_type,assigned_orbit_index,max_rel_error,hit_at_50,distinct_branch_hits,duplicate_branch_fraction,branch_coverage_fraction,cluster_distinct_count
slow_fast,0,200,odepe_shade,0,1,2,1,none,0,1.1022262201260558e-13,True,1,0.0,1.0,1
slow_fast,0,201,odepe_v2_polish,0,2,2,1,none,0,1.2269481120229053e-11,True,1,0.0,1.0,2
slow_fast,0,201,odepe_v2_polish,1,2,2,1,none,0,1.3636761947293021,False,1,0.0,1.0,2
slow_fast,0,201,odepe_v2_nopolish,0,2,2,1,none,0,1.1012138377859853e-11,True,1,0.0,1.0,2
slow_fast,0,201,odepe_v2_nopolish,1,2,2,1,none,0,2.303555322370184,False,1,0.0,1.0,2
slow_fast,0,201,amigo2,0,1,2,1,none,0,3.298306297449149e-10,True,1,0.0,1.0,1
slow_fast,0,201,odepe_shade,0,1,2,1,none,0,1.3636761970791997,False,0,0.0,0.0,1
slow_fast,0,202,odepe_v2_polish,0,2,2,1,none,0,9.253161617210373e-13,True,1,0.0,1.0,2
slow_fast,0,202,odepe_v2_polish,1,2,2,1,none,0,49.185934886091204,False,1,0.0,1.0,2
slow_fast,0,202,odepe_v2_nopolish,0,2,2,1,none,0,49.185934885925285,False,1,0.0,1.0,2
slow_fast,0,202,odepe_v2_nopolish,1,2,2,1,none,0,9.917731737584587e-12,True,1,0.0,1.0,2
slow_fast,0,202,amigo2,0,1,2,1,none,0,1.199360807713103e-10,True,1,0.0,1.0,1
slow_fast,0,202,odepe_shade,0,1,2,1,none,0,1.2028719178773265e-12,True,1,0.0,1.0,1
slow_fast,0,203,odepe_v2_polish,0,2,2,1,none,0,2.087862117479637e-12,True,1,0.0,1.0,2
slow_fast,0,203,odepe_v2_polish,1,2,2,1,none,0,1.2633354164458162,False,1,0.0,1.0,2
slow_fast,0,203,odepe_v2_nopolish,0,2,2,1,none,0,1.2633354164237316,False,1,0.0,1.0,2
slow_fast,0,203,odepe_v2_nopolish,1,2,2,1,none,0,1.698341239790463e-10,True,1,0.0,1.0,2
slow_fast,0,203,amigo2,0,1,2,1,none,0,5.062051033002165e-09,True,1,0.0,1.0,1
slow_fast,0,203,odepe_shade,0,1,2,1,none,0,3.944171085432507e-12,True,1,0.0,1.0,1
slow_fast,0,204,odepe_v2_polish,0,2,2,1,none,0,2.3148274249455163e-13,True,1,0.0,1.0,2
slow_fast,0,204,odepe_v2_polish,1,2,2,1,none,0,2.143478368260258,False,1,0.0,1.0,2
slow_fast,0,204,odepe_v2_nopolish,0,2,2,1,none,0,2.143478368259975,False,1,0.0,1.0,2
slow_fast,0,204,odepe_v2_nopolish,1,2,2,1,none,0,2.9477166419921815e-11,True,1,0.0,1.0,2
slow_fast,0,204,amigo2,0,1,2,1,none,0,3.9904026106972333e-10,True,1,0.0,1.0,1
slow_fast,0,204,odepe_shade,0,1,2,1,none,0,8.851979552044872e-13,True,1,0.0,1.0,1
slow_fast,0,205,odepe_v2_polish,0,2,2,1,none,0,2.258572498692084e-11,True,1,0.0,1.0,2
slow_fast,0,205,odepe_v2_polish,1,2,2,1,none,0,0.6109184948979675,False,1,0.0,1.0,2
slow_fast,0,205,odepe_v2_nopolish,0,2,2,1,none,0,2.327188118237762e-11,True,1,0.0,1.0,2
slow_fast,0,205,odepe_v2_nopolish,1,2,2,1,none,0,0.6109184948968366,False,1,0.0,1.0,2
slow_fast,0,205,amigo2,0,1,2,1,none,0,1.7774049570764137e-09,True,1,0.0,1.0,1
slow_fast,0,205,odepe_shade,0,1,2,1,none,0,7.229638054524507e-14,True,1,0.0,1.0,1
slow_fast,0,206,odepe_v2_polish,0,2,2,1,none,0,5.292151618578049e-13,True,1,0.0,1.0,2
slow_fast,0,206,odepe_v2_polish,1,2,2,1,none,0,28.325513196480944,False,1,0.0,1.0,2
slow_fast,0,206,odepe_v2_nopolish,0,2,2,1,none,0,25.932125262279094,False,1,0.0,1.0,2
slow_fast,0,206,odepe_v2_nopolish,1,2,2,1,none,0,2.8879142666992353e-12,True,1,0.0,1.0,2
slow_fast,0,206,amigo2,0,1,2,1,none,0,4.13791330260256e-10,True,1,0.0,1.0,1
slow_fast,0,206,odepe_shade,0,1,2,1,none,0,4.272757361598259e-13,True,1,0.0,1.0,1
slow_fast,0,207,odepe_v2_polish,0,2,2,1,none,0,1.6992375760440025e-11,True,2,0.0,2.0,2
slow_fast,0,207,odepe_v2_polish,1,2,2,1,none,0,0.19331347371910126,True,2,0.0,2.0,2
slow_fast,0,207,odepe_v2_nopolish,0,2,2,1,none,0,1.1685427139226976,False,1,0.0,1.0,2
slow_fast,0,207,odepe_v2_nopolish,1,2,2,1,none,0,7.529342229060733e-12,True,1,0.0,1.0,2
slow_fast,0,207,amigo2,0,1,2,1,none,0,3.756998521810471e-09,True,1,0.0,1.0,1
slow_fast,0,207,odepe_shade,0,1,2,1,none,0,3.0741123932135193e-12,True,1,0.0,1.0,1
slow_fast,0,208,odepe_v2_polish,0,2,2,1,none,0,4.21295023501523e-12,True,1,0.0,1.0,2
slow_fast,0,208,odepe_v2_polish,1,2,2,1,none,0,2.585380785099522,False,1,0.0,1.0,2
slow_fast,0,208,odepe_v2_nopolish,0,2,2,1,none,0,7.498325799121639e-11,True,1,0.0,1.0,2
