system,estimator,noise_label,cell_id,n_rows,top1_err,oracle_err,oracle_rank,gap_ratio,is_mult2,row0_is_alt_branch
bicycle_model,odepe_v2_polish,1em2,bicycle_model_7_1em2,20,0.02859785576828392,0.023637146508994268,1,1.2098692097797012,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_7_1em4,20,0.14423952397611955,0.018157880330823162,5,7.943632260384033,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_7_1em6,20,0.0008450504047941264,0.0008450504047941264,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_7_1em8,20,0.08203439614207476,0.004070164442730172,3,20.155056950732927,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_8_0,20,1.0635446293917513e-06,1.258931230868004e-11,1,84479.9623136255,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_8_1em2,20,0.005319228883915841,0.005294154309497992,1,1.0047362757018365,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_8_1em4,20,1.9245677524179802e-05,1.9245677524179802e-05,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_8_1em6,20,8.410600601713767e-05,4.3277625083160653e-05,2,1.9434062256309754,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_8_1em8,20,1.0635446293917513e-06,4.4669588645453514e-07,1,2.3809143124938967,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_9_0,20,3.313448648751683e-06,2.9190969056914455e-11,1,113509.37484436913,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_9_1em2,20,0.0010013499330815702,0.0010013499330815702,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_9_1em4,20,0.00010314457853080489,0.00010314457853080489,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_9_1em6,20,6.998088997804275e-06,3.788704863756975e-06,1,1.8470926740027975,False,False
bicycle_model,odepe_v2_polish,1em8,bicycle_model_9_1em8,20,3.313448648751683e-06,2.171294998178896e-07,1,15.260241706128056,False,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_0_0,20,5.855931865508068e-10,6.635176972141367e-11,1,8.825585044822377,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_0_1em2,20,3.1745132047091045,3.174042686401478,19,1.000148239439136,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_0_1em4,20,1.0345933892807684,1.0345902702089407,5,1.000003014789446,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_0_1em6,20,0.0025436700968836986,0.0025338912694971957,9,1.003859213496735,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_0_1em8,20,8.52486969059769e-05,8.481631800814873e-05,2,1.005097826785957,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_1_0,20,3.1648647674707506e-06,3.1648647674707506e-06,0,1.0,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_1_1em2,20,20.907612253136303,20.907612238640276,6,1.0000000006933374,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_1_1em4,20,1.1267118115571517,1.1261425504929,7,1.000505496452472,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_1_1em6,20,0.02285343536491678,0.022852704227977694,3,1.0000319934538946,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_1_1em8,20,0.0003400379995402264,0.0003400354086022664,4,1.0000076196122358,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_2_0,20,6.079102796650824e-06,6.079102796650824e-06,0,1.0,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_2_1em2,20,4.259931365860374,4.258670198332624,9,1.0002961411588631,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_2_1em4,20,4.612845263279785,4.612842389852333,8,1.0000006229190612,True,False
