,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
36,7,fitzhugh_nagumo_1_1em8,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,True,True,odepe,"[['g', '0.019677321849935734', '-0.04308910912786474', '-0.10951763071340087', '0.8468668490800018', '0.8402958003671261', '0.5798145281695359'], ['a', '1.4536450762169042', '2.5878871476102345', '3.368301333576695', '0.11877100055747401', '0.1586393524372198', '1.6686616490259474'], ['b', '-0.039827223492642845', '0.05847381075259228', '0.10115076138834014', '0.16866471426778035', '0.17141889416089756', '0.22474986167827735'], ['VV', '-14.540856242327825', '-7.205655275018641', '-5.289692902150245', '0.13406187762205207', '0.1159662866017572', '-0.5276215174453389'], ['R', '1850.1628408338545', '-459.69600527889276', '-129.13082436845588', '0.7062627494573321', '0.7658736314429241', '3.740158124419481']]",213.06286597251892
37,7,fitzhugh_nagumo_1_1em8,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,True,True,sciml,"[['g', '0.840000000217652'], ['a', '0.156999980009888'], ['b', '0.16999998619568102'], ['VV', '0.1160000004202173'], ['R', '0.7659999953860303']]",115.1053524017334
38,7,fitzhugh_nagumo_1_1em8,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,False,False,iqm,,
39,7,fitzhugh_nagumo_1_1em8,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-08,False,False,amigo2,,
40,8,vanderpol_0_1em6,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-06,True,True,pe,"[['a', '0.5390635446928794'], ['b', '0.6721460999361263'], ['x1', '0.5819862278886361'], ['x2', '0.5359731268507659']]",118.4331784248352
41,8,vanderpol_0_1em6,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-06,True,True,odepe,"[['a', '0.5390635446928643', '0.5389913811127187', '0.5389963263365443', '0.5389972240088455'], ['b', '0.6721460999361262', '0.6719305168192121', '0.6720130741969232', '0.6719976771776196'], ['x1', '0.5819862278886397', '0.5820079383216044', '0.5819985908188464', '0.5820006427561206'], ['x2', '0.5359731268507676', '0.5360062085169067', '0.5359970148866638', '0.5360006150550518']]",113.73503828048706
42,8,vanderpol_0_1em6,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-06,True,True,sciml,"[['a', '0.5389999520149594'], ['b', '0.6719998200903421'], ['x1', '0.5820000065916843'], ['x2', '0.5360000218221109']]",110.51603507995605
43,8,vanderpol_0_1em6,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-06,False,False,iqm,,
44,8,vanderpol_0_1em6,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-06,False,False,amigo2,,
45,9,vanderpol_1_1em6,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-06,True,True,pe,"[['a', '0.4389951588775727'], ['b', '0.6170166786773975'], ['x1', '0.45000462478614806'], ['x2', '0.8129966629568995']]",144.82128882408142
