Unnamed: 0,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,run,software,result,time
30,7,aircraft_pitch_7_0,"{'theta': 0.182, 'q': 0.267, 'alpha': 0.229}","{'M_alpha': 0.391, 'M_q': 0.556, 'M_delta_e': 0.451, 'Z_alpha': 0.891}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,sciml_run,sciml,"[['M_alpha', '0.3910000118783225'], ['M_q', '0.5560001698047153'], ['M_delta_e', '0.45100054357107805'], ['Z_alpha', '0.8911040933534815'], ['theta', '5.000004996229126'], ['q', '0.26699863587212985'], ['alpha', '0.22899910503121063']]",1811.9128658771515
31,7,aircraft_pitch_7_0,"{'theta': 0.182, 'q': 0.267, 'alpha': 0.229}","{'M_alpha': 0.391, 'M_q': 0.556, 'M_delta_e': 0.451, 'Z_alpha': 0.891}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,amigo2_run,amigo2,"[['M_alpha', '3.9100e-01'], ['M_q', '5.5600e-01'], ['M_delta_e', '4.5100e-01'], ['Z_alpha', '8.9100e-01'], ['theta', '2.8829e-01'], ['q', '2.6700e-01'], ['alpha', '2.2900e-01']]",501.533251285553
32,8,bicycle_model_0_0,"{'vy': 0.296, 'r': 0.227}","{'Cf': 0.622, 'Cr': 0.303, 'm_veh': 0.473}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_polish,odepe,"[['Cf', '0.6219999491015118'], ['Cr', '0.30299998965594444'], ['m_veh', '0.47299999393744885'], ['vy', '0.29599968820296685'], ['r', '0.22700276519981133']]",3935.3714015483856
33,8,bicycle_model_0_0,"{'vy': 0.296, 'r': 0.227}","{'Cf': 0.622, 'Cr': 0.303, 'm_veh': 0.473}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_nopolish,odepe,"[['Cf', '0.621999974453097'], ['Cr', '0.3030000302253832'], ['m_veh', '0.47300007576304276'], ['vy', '0.296000193127889'], ['r', '0.22700018790702656']]",2885.14079618454
34,8,bicycle_model_0_0,"{'vy': 0.296, 'r': 0.227}","{'Cf': 0.622, 'Cr': 0.303, 'm_veh': 0.473}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,sciml_run,sciml,"[['Cf', '5.565515462365216'], ['Cr', '2.0924554106900493'], ['m_veh', '8.308211613047353'], ['vy', '1.4405476765659504'], ['r', '8.884781598494266']]",1800.0892004966736
35,8,bicycle_model_0_0,"{'vy': 0.296, 'r': 0.227}","{'Cf': 0.622, 'Cr': 0.303, 'm_veh': 0.473}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,amigo2_run,amigo2,"[['Cf', '6.2200e-01'], ['Cr', '3.0300e-01'], ['m_veh', '4.7300e-01'], ['vy', '2.9600e-01'], ['r', '2.2700e-01']]",417.3887047767639
36,9,bicycle_model_1_0,"{'vy': 0.257, 'r': 0.395}","{'Cf': 0.188, 'Cr': 0.625, 'm_veh': 0.211}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_polish,odepe,"[['Cf', '0.1880002360234208'], ['Cr', '0.6250007009844749'], ['m_veh', '0.21100025162182984'], ['vy', '0.25699979139282814'], ['r', '0.3950010456764862']]",4478.431310176849
37,9,bicycle_model_1_0,"{'vy': 0.257, 'r': 0.395}","{'Cf': 0.188, 'Cr': 0.625, 'm_veh': 0.211}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_nopolish,odepe,"[['Cf', '0.18800004349582405'], ['Cr', '0.6250000029069265'], ['m_veh', '0.21100002588644426'], ['vy', '0.25699993586617076'], ['r', '0.3950000027435927']]",3068.8760499954224
38,9,bicycle_model_1_0,"{'vy': 0.257, 'r': 0.395}","{'Cf': 0.188, 'Cr': 0.625, 'm_veh': 0.211}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,sciml_run,sciml,"[['Cf', '0.18800000001362033'], ['Cr', '0.6250000000448539'], ['m_veh', '0.21100000001509098'], ['vy', '0.25700000002922674'], ['r', '0.39500000013597003']]",1789.8463160991669
39,9,bicycle_model_1_0,"{'vy': 0.257, 'r': 0.395}","{'Cf': 0.188, 'Cr': 0.625, 'm_veh': 0.211}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,amigo2_run,amigo2,"[['Cf', '1.8800e-01'], ['Cr', '6.2500e-01'], ['m_veh', '2.1100e-01'], ['vy', '2.5700e-01'], ['r', '3.9500e-01']]",412.7917954921722
